,Compound,Date,Negative,Neutral,Outlet,Positive,Text,Tweet Count
52,0.0,Mon Mar 12 16:07:16 +0000 2018,0.0,1.0,@BBC,0.0,"😱 @Beyonce and Jay-Z are going on a joint tour called On The Run II, it has finally been confirmed. 
👉… https://t.co/sG72fSqfRi",53
53,-0.3612,Mon Mar 12 15:55:51 +0000 2018,0.116,0.884,@BBC,0.0,"RT @BBCR1: ""Who is your least favourite Carpool Karaoke guest?""
 
@JKCorden always asks difficult questions... So @grimmers let celebs get…",54
54,-0.34,Mon Mar 12 14:00:09 +0000 2018,0.194,0.806,@BBC,0.0,"😕 Binoculars, wet wipes, glue, and other confusingly gendered products...
👉 https://t.co/iDxK2oSX4R https://t.co/5NxTrzbdb3",55
55,0.25,Mon Mar 12 13:30:45 +0000 2018,0.0,0.9,@BBC,0.1,"French fashion designer Hubert de Givenchy, who created famous looks for Audrey Hepburn and Jackie Kennedy, has die… https://t.co/UuWcTZ46c2",56
56,0.0,Mon Mar 12 13:27:27 +0000 2018,0.0,1.0,@BBC,0.0,"RT @BBCBreakfast: Let's settle this... Which goes first on a scone, cream or jam? 

@MrDanWalker thinks it should be #jamfirst but @LouiseM…",57
57,0.0,Mon Mar 12 12:59:05 +0000 2018,0.0,1.0,@BBC,0.0,'Our clothes can be a sixth sense.' https://t.co/DiN7gnxlon,58
58,0.0,Mon Mar 12 12:46:06 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCR1: .@thegreatkhalid gives all the goosebumps with his Live Lounge cover of Tracy Chapman's 'Fast Car' ⭐️✨ https://t.co/03fLgeKklj,59
59,-0.34,Mon Mar 12 12:40:39 +0000 2018,0.112,0.888,@BBC,0.0,"RT @bbccomedy: In a nutshell, it's a foregone conclusion that you'll accidentally quote the big man during #ShakespeareWeek. The son of a b…",60
60,0.0,Mon Mar 12 12:19:24 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCWorld: Miami nightclub shut over horse stunt https://t.co/j4SjWAyDWo,61
61,0.0,Mon Mar 12 12:00:09 +0000 2018,0.0,1.0,@BBC,0.0,"🎭 If you’ve ever been ‘in a pickle’, waited ‘with bated breath’, or gone on ‘a wild goose chase’, then you’ve been… https://t.co/iAh1LB98DU",62
62,-0.6542,Mon Mar 12 10:58:16 +0000 2018,0.225,0.709,@BBC,0.066,"RT @BBCFOUR: Two common hair straightener temperatures: one's fine, but the other will destroy your hair... https://t.co/BEaLyTWdzy",63
63,0.7579,Mon Mar 12 10:55:19 +0000 2018,0.071,0.647,@BBC,0.282,"RT @bbcthree: ""It's great to go to the court knowing there's no ban... I'm still able to practice my faith while playing basketball.""  #per…",64
64,-0.5255,Mon Mar 12 10:52:55 +0000 2018,0.159,0.841,@BBC,0.0,"RT @BBCNewsround: Have you been using emojis wrong this whole time? 🙈Yep, apparently there's an official definition now! https://t.co/Xiwan…",65
65,0.2433,Mon Mar 12 09:58:30 +0000 2018,0.119,0.696,@BBC,0.185,"💔 Sir Ken Dodd, creator of the Diddy Men and one of the most popular comedians of his time, has died aged 90.
👉… https://t.co/Yw0hzqKjyK",66
66,-0.1531,Mon Mar 12 09:00:06 +0000 2018,0.264,0.545,@BBC,0.191,Is this a 'luxury prison' or the best way to prepare offenders for life outside? https://t.co/uqQZwyCC6S,67
67,0.2732,Mon Mar 12 08:30:04 +0000 2018,0.133,0.687,@BBC,0.18,"🍠 Poor, rural societies which ate high-quality, local foods had the best diet and health in mid-Victorian Britain.… https://t.co/P4N0lA74ch",68
68,0.0516,Mon Mar 12 08:00:05 +0000 2018,0.174,0.64,@BBC,0.186,3 out of 4 parents wouldn’t be able to save their baby from choking. https://t.co/pxYSvLtkBN,69
69,0.6068,Sun Mar 11 21:39:32 +0000 2018,0.0,0.763,@BBC,0.237,"RT @bbcthree: ""I felt completely overwhelmed and amazed as soon as he was put on my chest."" https://t.co/3FOgymPjhQ",70
70,0.6908,Sun Mar 11 21:22:19 +0000 2018,0.0,0.678,@BBC,0.322,"🎤✨ Catch the best performances, exclusive backstage footage and photos from #AsianNetworkLive2018 at… https://t.co/nWlJnU6AX9",71
71,0.3612,Sun Mar 11 21:02:37 +0000 2018,0.0,0.848,@BBC,0.152,"RT @BBCOne: Here's to the memories. ❤️
Thank you for watching #CallTheMidwife with us. https://t.co/G1h78O8Qya",72
72,0.861,Sun Mar 11 20:00:07 +0000 2018,0.0,0.57,@BBC,0.43,"Join host @TessDaly for a very special event honouring one of this country's biggest and best-loved entertainers, S… https://t.co/Cym8TQlXhE",73
73,0.765,Sun Mar 11 19:54:20 +0000 2018,0.048,0.662,@BBC,0.29,"RT @bbcouch: ‘I couldn’t reach Millie in her toughest year’

@knight_millie may be celebrating her second silver medal at the Winter Paraly…",74
74,0.296,Sun Mar 11 19:52:28 +0000 2018,0.097,0.767,@BBC,0.137,RT @bbcsoutheast: It’s with great sadness we have to report that our sports reporter Neil Bell passed away in the early hours of Sunday mor…,75
75,0.4939,Sun Mar 11 19:51:36 +0000 2018,0.0,0.868,@BBC,0.132,RT @BBCBreakfast: Mary Beard's documentaries about the Romans have brought their ancient world to life - now she's turning her hand to the…,76
76,-0.7481,Sun Mar 11 19:51:25 +0000 2018,0.285,0.715,@BBC,0.0,"RT @BBCiPlayer: I will not allow that man...that nobody...to kill my brother twice. #ACSVersace, now on BBC iPlayer: https://t.co/M1ixQKBH3…",77
77,0.0,Sun Mar 11 19:51:12 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCOne: Mums have to put up with some right rubbish. https://t.co/mN7f23pPub,78
78,0.0,Sun Mar 11 19:50:11 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCSpringwatch: Actual Mother's Day sibling selfie 😘👩‍👧‍👦  #selfie #mothersday #motheringsunday #sunday #winterwatch #wildlife #littleo…,79
79,0.0,Sun Mar 11 19:49:56 +0000 2018,0.0,1.0,@BBC,0.0,RT @cbbc: Tanya Muzinda is on a mission to conquer the motocross world. Follow her story Monday 5.30pm 🏍️💪 https://t.co/Z9w1GJZS45,80
80,-0.5994,Sun Mar 11 19:00:03 +0000 2018,0.163,0.837,@BBC,0.0,"'That was the end of my childhood.'

💔Money saving expert @MartinSLewis opens up about the death of his mum, three… https://t.co/zFdD7gDBmH",81
81,0.2263,Sun Mar 11 18:00:15 +0000 2018,0.213,0.435,@BBC,0.353,❤️ These creations are helping to comfort children during their cancer treatment. https://t.co/qque7xnzNx,82
82,0.3818,Sun Mar 11 17:02:03 +0000 2018,0.0,0.794,@BBC,0.206,🐑 Ewe won't believe how this farmer revives frozen little lambs.  https://t.co/z1UvoIiRXY,83
83,0.0,Sun Mar 11 16:55:19 +0000 2018,0.0,1.0,@BBC,0.0,"RT @BBCMOTD: John Motson in his element during his last ever LIVE commentary (would you believe it?!)
50 years as a commentator🎙
10 World C…",84
84,0.0,Sun Mar 11 16:00:04 +0000 2018,0.0,1.0,@BBC,0.0,"By 2050, 30-50% of all species could be heading towards extinction. https://t.co/2TYrhIiBIw",85
85,0.0,Sun Mar 11 15:01:05 +0000 2018,0.0,1.0,@BBC,0.0,🗑🚀 Tomorrow’s space scientists will have to deal with a monumental amount of space junk left from previous spacecra… https://t.co/IJTpc5TBsd,86
86,0.0,Sun Mar 11 14:43:09 +0000 2018,0.0,1.0,@BBC,0.0,"RT @5liveSport: For the final time...

The legendary John Motson is in our commentary box 🎙️⚽️

He'll be commentating on #Arsenal vs #Watfo…",87
87,-0.0772,Sun Mar 11 14:00:04 +0000 2018,0.284,0.459,@BBC,0.257,Making fake videos just got easier. https://t.co/VSP9bwHVNZ,88
88,-0.5267,Sun Mar 11 12:33:04 +0000 2018,0.145,0.855,@BBC,0.0,"Captain America teams up with Black Widow to get to the bottom of a conspiracy. 🔥💪🇺🇸

Captain America: The Winter S… https://t.co/yDWYJRUgGi",89
